author,year,title,editor,pages,image,link
René P.,2025,"Glaciers des Pyrénées, 25 ans d’explorations et de mesures","Éditions Le Festin - Le Bord de l’Eau",160p.,"Livre Glaciers des Pyrénées, 2025.jpg",/livre/
René P.,2024,"Extinction des glaciers pyrénéens, illustration de l’auto sabotage en cours",Éditions Cairn,24p.,"Livret Glaciers des Pyrénées, 2024.jpg"
René P.,2013,"Glaciers des Pyrénées, le réchauffement climatique en images",Éditions Cairn,168p.,"Livre Glaciers des Pyrénées, 2013.jpg"
